municipios_id_municipio,municipios_descripcion_municipio,municipios_descripcion_municipio_texto_libre
519,Orbara,
520,Orísoain,
521,Orkoien,
522,Oronz/Orontze,
523,Oroz-Betelu/Orotz-Betelu,
524,Orreaga/Roncesvalles,
525,Oteiza,
526,Pamplona/Iruñ,
527,Peralta/Azkoien,
528,Petilla de Aragón,
529,Piedramillera,
530,Pitillas,
531,Puente la Reina/Gares,
532,Pueyo,
533,Ribaforada,
534,Romanzado,
535,Roncal/Erronkari,
536,Sada,
537,Saldías,
538,Salinas de Oro/Jaitz,
539,San Adrián,
540,San Martín de Unx,
541,Sangüesa/Zangoza,
542,Sansol,
543,Santacara,
544,Sarriés/Sartze,
545,Sartaguda,
546,Sesma,
547,Sorlada,
548,Sunbilla,
549,Tafalla,
550,Tiebas-Muruarte de Reta,
551,Tirapu,
552,Torralba del Río,
553,Torres del Río,
554,Tudela,
555,Tulebras,
556,Ucar,
557,Uharte-Arakil,
558,Ujué,
559,Ultzama,
560,Unciti,
561,Unzu�,
562,Urdazubi/Urdax,
563,Urdiain,
564,Urraul Alto,
565,Urraul Bajo,
566,Urrotz,
567,Urroz-Villa,
568,Urzainqui/Urzainki,
569,Uterga,
570,Uztárroz/Uztarroze,
571,Valle de Yerri/Deierri,
572,Valtierra,
573,Viana,
574,Vidángoz/Bidankoze,
575,Villafranca,
576,Villamayor de Monjardín,
577,Villatuerta,
578,Villava/Atarrabia,
579,Yesa,
580,Zabalza/Zabaltza,
581,Ziordia,
582,Zizur Mayor/Zizur Nagusia,
583,Zubieta,
584,Zugarramurdi,
585,Zúñiga,
586,Abadiña,
587,Abanto y Ciérvana-Abanto Zierbena,
588,Ajangiz,
589,Alonsotegi,
590,Amorebieta-Etxano,
591,Amoroto,
592,Arakaldo,
593,Arantzazu,
594,Areatza,
595,Arrankudiaga,
596,Arratzu,
597,Arrieta,
598,Arrigorriaga,
599,Artea,
600,Artzentales,
601,Atxondo,
602,Aulesti,
603,Bakio,
604,Balmaseda,
605,Barakaldo,
606,Barrika,
607,Basauri,
608,Bedia,
609,Berango,
610,Bermeo,
611,Berriatua,
612,Berriz,
613,Bilbao,
614,Busturia,
615,Derio,
616,Dima,
617,Durango,
618,Ea,
619,Elantxobe,
620,Elorrio,
621,Erandio,
622,Ereño,
623,Ermua,
624,Errigoiti,
625,Etxebarri,
626,Etxebarria,
627,Forua,
628,Fruiz,
629,Galdakao,
630,Galdames,
631,Gamiz-Fika,
632,Garai,
633,Gatika,
634,Gautegiz Arteaga,
635,Gernika-Lumo,
636,Getxo,
637,Gizaburuaga,
638,Gordexola,
639,Gorliz,
640,Güeñes,
641,Ibarrangelu,
642,Igorre,
643,Ispaster,
644,Iurreta,
645,Izurtza,
646,Karrantza Harana/Valle de Carranza,
647,Kortezubi,
648,Lanestosa,
649,Larrabetzu,
650,Laukiz,
651,Leioa,
652,Lekeitio,
653,Lemoa,
654,Lemoiz,
655,Lezama,
656,Loiu,
